source,target,score
727,25677,23.65
727,11558,23.66
727,7148,23.69
727,2165,23.71
727,10467,23.72
727,8631,23.74
727,1538,23.77
727,5536,23.8
727,19413,23.83
727,1708,23.85
727,18314,23.88
727,12201,23.92
727,23993,23.93
727,18997,23.93
727,23385,24.02
727,22916,24.03
727,10815,24.04
727,4681,24.04
727,17938,24.06
727,9489,24.07
727,13837,24.08
727,5994,24.11
727,2792,24.2
727,10938,24.2
727,13044,24.23
727,11434,24.24
727,10615,24.25
727,17823,24.26
727,19878,24.26
727,12858,24.26
727,23775,24.26
727,19403,24.26
727,6604,24.29
727,2840,24.29
727,16492,24.32
727,9420,24.32
727,10170,24.33
727,7789,24.36
727,891,24.36
727,9218,24.37
727,14133,24.38
727,1839,24.44
727,11809,24.46
727,23461,24.47
727,4513,24.47
727,12084,24.47
727,20624,24.47
727,11835,24.48
727,19349,24.5
727,11364,24.52
727,13080,24.52
727,856,24.52
727,21112,24.54
727,9282,24.54
727,5182,24.55
727,1907,24.56
727,3079,24.56
727,2539,24.56
727,11225,24.58
727,19833,24.58
727,9426,24.58
727,17630,24.58
727,22191,24.59
727,21554,24.59
727,13450,24.62
727,21394,24.64
727,15992,24.66
727,24344,24.67
727,16691,24.71
727,19663,24.72
727,16032,24.72
732,5205,15.08
732,10475,16.62
732,21554,18.17
732,19758,18.48
732,19431,18.56
732,4508,19.0
732,4933,19.39
732,20649,19.49
732,23298,19.71
732,8161,20.18
732,18624,20.46
732,17194,20.51
732,1463,20.56
732,20521,20.81
732,20674,20.83
732,9706,20.880000000000003
732,20211,21.03
732,24229,21.15
732,10935,21.17
732,18293,21.35
732,13204,21.48
732,9556,21.53
732,17451,21.66
732,9902,21.68
732,11801,21.85
732,13675,21.86
732,23460,21.88
732,18655,22.04
732,20724,22.15
732,19827,22.25
732,2535,22.25
732,10093,22.3
732,19098,22.43
732,10011,22.54
732,22637,22.59
732,2156,22.6
732,18856,22.6
732,13620,22.67
732,16199,22.7
732,2104,22.76
732,2985,22.86
732,4736,22.9
732,11809,22.94
732,10952,22.96
732,19633,22.97
732,21100,22.97
732,3334,23.08
732,23715,23.13
732,5559,23.14
732,7384,23.14
732,11606,23.15
732,19692,23.15
